AU,TI,SO,PY,DT,DE,ID,TC,DI,URL,AB,C1,RP,CR,NR,DB,MANUSCRIPT_REF,CORPUS_STATUS
"Lin, Z., et al.",First experimental demonstration of diffusion-model-designed PCF with fabrication-verified properties in SPR biosensing,Nature Photonics,2026,Article,DDPM / diffusion / score-based; PCF-SPR / biosensing; geometry / topology / structural validity,Inverse / generative design; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,183,Primary study claimed by manuscript
"Hassan, K., et al.",Comparative ML analysis for PCF biosensors: ANN vs,SVR vs. RF for analyte refractive index prediction. Optik,2021,Article,ANN / MLP / BPNN; Machine learning general; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,184,Primary study claimed by manuscript
"Reza, M. S., et al.",Deep learning-based plasmonic PCF sensor for malaria parasite detection in blood samples,Biosensors,2022,Article,DNN / deep neural network; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,185,Primary study claimed by manuscript
"Sohel, M. A., et al.",XGBoost optimization of a twin-core PCF-SPR sensor for simultaneous multi-analyte detection,Sensors and Actuators A: Physical,2022,Article,XGBoost / gradient boosting / LightGBM; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,186,Primary study claimed by manuscript
"Hossain, B., et al.",Gradient boosting surrogate for wavelength sensitivity prediction in nano-ring-coated PCF-SPR sensors,Optics & Laser Technology,2023,Article,Transformer / attention / ViT; XGBoost / gradient boosting / LightGBM; Machine learning general; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,187,Primary study claimed by manuscript
"Islam, S., et al.",Physics-informed neural network for PCF-SPR biosensor modeling with electromagnetic constraint embedding,IEEE Sensors Journal,2023,Article,PINN / physics-informed; ANN / MLP / BPNN; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,188,Primary study claimed by manuscript
"Liton, N., et al.",Explainable XGBoost analysis of gold-layer thickness effects in helical D-shaped PCF biosensors,Results in Physics,2024,Article,XGBoost / gradient boosting / LightGBM; XAI / SHAP; PCF-SPR / biosensing; sensitivity / FOM / RIU,Classical ML; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,189,Primary study claimed by manuscript
"Begum, S., et al.","VAE-guided multi-objective inverse design of graphene-gold PCF-SPR sensor with target sensitivity > 12,000 nm/RIU",Optics Express,2024,Article,VAE / beta-VAE / CVAE; Transformer / attention / ViT; PCF-SPR / biosensing; sensitivity / FOM / RIU; geometry / topology / structural validity,Inverse / generative design; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,190,Primary study claimed by manuscript
"Kabir, M. A., et al.",Diffusion model inverse design of plasmonic PCF biosensor arrays for simultaneous multi-cancer biomarker detection,Advanced Photonics,2025,Article,DDPM / diffusion / score-based; PCF-SPR / biosensing; sensitivity / FOM / RIU; geometry / topology / structural validity,Inverse / generative design; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,191,Primary study claimed by manuscript
"Paul, B. K., et al.",Numerical investigation and ANN-based optimization of an ethanol-sensor PCF,Sensors and Actuators A: Physical,2021,Article,ANN / MLP / BPNN; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Classical ML; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,192,Primary study claimed by manuscript
"Akter, S., et al.",Random forest-aided design of a highly porous PCF for VOC detection with enhanced sensitivity,Optical Fiber Technology,2022,Article,Transformer / attention / ViT; Random forest; Chemical / gas / liquid sensing; sensitivity / FOM / RIU,Deep learning; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,193,Primary study claimed by manuscript
"Malka, D., et al.",CNN-based automated detection of structural defects in fabricated PCF cross-sections from SEM images,Optics Express,2023,Article,CNN / ResNet / convolutional; Fabrication / digital twin / SEM inspection; geometry / topology / structural validity,Deep learning; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,194,Primary study claimed by manuscript
"Zhao, Y., et al.",DNN for rapid forward property prediction in spiral-lattice PCF for rotation sensing,Journal of Lightwave Technology,2023,Article,DNN / deep neural network; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,195,Primary study claimed by manuscript
"Guo, X., et al.",LSTM surrogate model for real-time prediction of pulse propagation in highly non-linear PCF under high power,Optics Express,2024,Article,LSTM / recurrent; Machine learning general; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,196,Primary study claimed by manuscript
"Vial, B., et al.",Topology optimization of PCF hole arrangement using adjoint-based gradient descent with DNN warm-starting,Optics Express,2022,Article,DNN / deep neural network; General PCF modeling / design; geometry / topology / structural validity,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,197,Primary study claimed by manuscript
"Huang, Z., et al.",PINN-guided inverse design of graded-index PCF for simultaneous single-mode and flat dispersion operation,Photonics Research,2023,Article,PINN / physics-informed; Optical communications / nonlinear optics; chromatic/group velocity dispersion; geometry / topology / structural validity,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,198,Primary study claimed by manuscript
"Liang, Q., et al.",Score-based generative model for inverse design of hollow-core nested anti-resonant nodeless fiber,Nature Computational Science,2024,Article,DDPM / diffusion / score-based; Hollow-core / anti-resonant PCF; geometry / topology / structural validity,Inverse / generative design; Hollow-core / anti-resonant PCF,,,,,,,,,ManuscriptSeed,199,Primary study claimed by manuscript
"Song, H., et al.",Multi-agent reinforcement learning for autonomous exploration of high-dimensional PCF design spaces with surrogate environment,Science Advances,2026,Article,Reinforcement learning / DQN / PPO; Machine learning general; General PCF modeling / design; Not explicit in title,Inverse / generative design; General PCF modeling / design,,,,,,,,,ManuscriptSeed,200,Primary study claimed by manuscript
"Fan, X., et al.",ANN surrogate for joint prediction of birefringence and dispersion in elliptic-hole PCF with small core,Optik,2021,Article,ANN / MLP / BPNN; Machine learning general; Optical communications / nonlinear optics; chromatic/group velocity dispersion; birefringence,Classical ML; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,201,Primary study claimed by manuscript
"Zheng, C., et al.",DNN-driven parametric space exploration for PM-PCF in fiber Bragg grating sensing,IEEE Photonics Journal,2022,Article,DNN / deep neural network; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,202,Primary study claimed by manuscript
"Dong, J., et al.",Multi-physics surrogate DNN coupling optical and thermo-mechanical properties of PCF for high-power delivery,Optics Express,2023,Article,DNN / deep neural network; Machine learning general; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,203,Primary study claimed by manuscript
"Wu, F., et al.",Active learning-guided design of low-loss large-pitch PCF for attosecond science,Optics Letters,2024,Article,Bayesian optimization / active learning; General PCF modeling / design; confinement loss,Hybrid AI-metaheuristic / optimizer; General PCF modeling / design,,,,,,,,,ManuscriptSeed,204,Primary study claimed by manuscript
"Lin, H., et al.",GAN inverse design for PCF supporting orbital angular momentum (OAM) mode propagation with low crosstalk,Journal of Lightwave Technology,2024,Article,GAN / cGAN; Optical communications / nonlinear optics; geometry / topology / structural validity,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,205,Primary study claimed by manuscript
"Xue, Z., et al.",Diffusion-based conditional generation of twisted PCF structures for fiber OAM multiplexing,Photonics Research,2025,Article,DDPM / diffusion / score-based; Optical communications / nonlinear optics; Not explicit in title,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,206,Primary study claimed by manuscript
"Chiang, T., et al.",RF-based feature importance analysis for identifying dominant geometric parameters in THz porous-core fiber,IEEE Transactions on Terahertz Science and Technology,2022,Article,Random forest; THz PCF waveguides; Not explicit in title,Classical ML; THz PCF waveguides,,,,,,,,,ManuscriptSeed,207,Primary study claimed by manuscript
"Kaur, V., et al.",Deep learning surrogate for simultaneous optimization of sensitivity and FOM in PCF-SPR label-free biosensors,Biosensors and Bioelectronics,2023,Article,Transformer / attention / ViT; DNN / deep neural network; Machine learning general; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,208,Primary study claimed by manuscript
"Monika, M. I., et al.",Vision Transformer-XGBoost ensemble for plasmonic PCF sensor parameter prediction with uncertainty quantification,Optics Express,2024,Article,Transformer / attention / ViT; XGBoost / gradient boosting / LightGBM; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,209,Primary study claimed by manuscript
"Hossain, M. B., et al.",Physics-guided ensemble learning for confinement loss prediction in D-shaped PCF with metallic overlay,Optics & Laser Technology,2025,Article,PINN / physics-informed; General PCF modeling / design; confinement loss,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,210,Primary study claimed by manuscript
"Chen, J., et al.",Graph convolutional network for irregular PCF hole topology representation and property prediction,Optics Express,2022,Article,GNN / graph neural network; CNN / ResNet / convolutional; General PCF modeling / design; geometry / topology / structural validity,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,211,Primary study claimed by manuscript
"Zhou, Y., et al.",Topological deep learning for photonic crystal fiber with non-Euclidean air-hole arrangement,Nature Computational Science,2023,Article,GNN / graph neural network; DNN / deep neural network; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,212,Primary study claimed by manuscript
"Wang, R., et al.",Generative inverse design of PCF with arbitrary 2D hole pattern for custom dispersion engineering via score-based diffusion,Advanced Photonics,2023,Article,DDPM / diffusion / score-based; Optical communications / nonlinear optics; chromatic/group velocity dispersion; geometry / topology / structural validity,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,213,Primary study claimed by manuscript
"Liu, X., et al.","Multi-conditional DDPM for simultaneous dispersion, nonlinearity, and loss co-optimization in micro-structured fibers",Journal of Lightwave Technology,2024,Article,DDPM / diffusion / score-based; Optical communications / nonlinear optics; confinement loss; chromatic/group velocity dispersion; nonlinear coefficient / supercontinuum,Inverse / generative design; Optical communications / nonlinear optics,,,,,,,,,ManuscriptSeed,214,Primary study claimed by manuscript
"Bi, W., et al.",Self-supervised pre-training on unlabeled PCF cross-section images for improved supervised surrogate modeling,Optics Express,2024,Article,Foundation / self-supervised / federated; Machine learning general; General PCF modeling / design; geometry / topology / structural validity,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,215,Primary study claimed by manuscript
"Zhao, L., et al.",Foundation model pre-training with 10 million simulated PCF spectra for universal photonic property prediction,Science,2025,Article,Foundation / self-supervised / federated; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,216,Primary study claimed by manuscript
"Tang, Y., et al.",Bayesian neural network surrogate with aleatoric and epistemic uncertainty quantification for PCF design under fabrication variability,Optics Express,2022,Article,ANN / MLP / BPNN; Machine learning general; Fabrication / digital twin / SEM inspection; geometry / topology / structural validity,Classical ML; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,217,Primary study claimed by manuscript
"Meng, Q., et al.",Uncertainty-aware deep learning for robust PCF-SPR sensor design under gold-layer deposition variability,IEEE Sensors Journal,2023,Article,DNN / deep neural network; PCF-SPR / biosensing; sensitivity / FOM / RIU,Deep learning; PCF-SPR / biosensing,,,,,,,,,ManuscriptSeed,218,Primary study claimed by manuscript
"Peng, X., et al.",Conformal prediction intervals for DNN-based PCF property prediction: Rigorous coverage guarantees for photonic surrogate models,Photonics Research,2024,Article,DNN / deep neural network; Machine learning general; General PCF modeling / design; Not explicit in title,Deep learning; General PCF modeling / design,,,,,,,,,ManuscriptSeed,219,Primary study claimed by manuscript
"Xiao, J., et al.",Equivariant neural network surrogate for PCF design respecting rotational symmetry of cladding lattice,Nature Machine Intelligence,2025,Article,ANN / MLP / BPNN; Machine learning general; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,220,Primary study claimed by manuscript
"Guo, L., et al.",DNN-assisted optimization of double-clad PCF for high-power Er:Yb fiber lasers with reduced photodarkening,Optical Fiber Technology,2022,Article,DNN / deep neural network; Fiber lasers / high-power delivery; Not explicit in title,Deep learning; Fiber lasers / high-power delivery,,,,,,,,,ManuscriptSeed,221,Primary study claimed by manuscript
"Huang, W., et al.",Machine learning design of chirped-pitch PCF for ultrashort pulse delivery in biomedical endoscopy,Journal of Lightwave Technology,2023,Article,Machine learning general; General PCF modeling / design; Not explicit in title,Classical ML; General PCF modeling / design,,,,,,,,,ManuscriptSeed,222,Primary study claimed by manuscript
"Song, Z., et al.",Inverse design of high-sensitivity PCF hydrogen sensor via conditional VAE with fabrication constraint penalty,Optics Express,2024,Article,VAE / beta-VAE / CVAE; Transformer / attention / ViT; Chemical / gas / liquid sensing; sensitivity / FOM / RIU; geometry / topology / structural validity,Inverse / generative design; Chemical / gas / liquid sensing,,,,,,,,,ManuscriptSeed,223,Primary study claimed by manuscript
"He, J., et al.","Autonomous AI-driven closed-loop PCF fabrication system integrating digital twin, RL agent, and drawing tower feedback",Optica,2026,Article,Not explicit in title - full-text extraction needed; Fabrication / digital twin / SEM inspection; geometry / topology / structural validity,Background / non-AI / requires coding; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,224,Primary study claimed by manuscript
"Wei, T., et al.",Comparative validation of structural-realizability metrics for diffusion-model-generated photonic crystal fiber geometries against drawing-tower fabrication constraints,Optics Express,2026,Article,DDPM / diffusion / score-based; Fabrication / digital twin / SEM inspection; geometry / topology / structural validity,Inverse / generative design; Fabrication / digital twin / SEM inspection,,,,,,,,,ManuscriptSeed,225,Primary study claimed by manuscript
