Ref_No,Year,Authors,Title,Synthesis_Group,Architecture,PCF_Domain,Target_Property,Dataset_Size_N,Effect_Metric,Effect_Value,Effect_SE,Reported_R2,Reported_RMSE,Reported_MAE,Reported_Accuracy,Inference_Time_ms,Comparator,Simulation_Tool,Validation_Type,Fabrication_Validation,Open_Data,Risk_or_QS_Total,Heterogeneity_Notes,Extraction_Status
121,2021,"Hossain, M. A., et al.",Deep learning based prediction of effective refractive index in asymmetric core PCF,Deep learning,DNN / deep neural network,General PCF modeling / design,effective refractive index / n_eff,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
122,2022,"Rahman, M. A., et al.",Machine learning optimization of a dual-core PCF for liquid sensing applications,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
123,2022,"Akter, S., et al.",CNN-based forward modeling of birefringent PCF for THz polarization maintenance,Deep learning,CNN / ResNet / convolutional,THz PCF waveguides,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
124,2022,"Islam, R., et al.",SVR-aided design of a porous-core fiber for terahertz wave guiding,Classical ML,SVR / SVM,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
125,2022,"Habib, M. A., et al.",Sensitivity enhancement of a PCF-SPR sensor using random forest optimization,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
126,2022,"Nandini, A., et al.",ANN-assisted design of a gold-silver bimetallic-coated PCF-SPR biosensor for cancer detection,Classical ML,ANN / MLP / BPNN,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
127,2023,"Paul, A. K., et al.",Machine learning approaches for PCF-based analyte detection: A comparative study of ANN and SVR,Classical ML,ANN / MLP / BPNN,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
128,2023,"Ahmed, T., et al.",Gradient-boosted ensemble models for predicting plasmonic resonance in gold-coated D-shaped PCF sensors,Classical ML,XGBoost / gradient boosting / LightGBM,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
129,2023,"Chowdhury, A., et al.","Deep learning inverse design for PCF-based SPR sensor optimization with target sensitivity > 10,000 nm/RIU",Inverse / generative design,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
130,2023,"Liton, M. N. H., et al.",XGBoost and neural network comparison for sensitivity prediction in hexagonal PCF biosensors,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
131,2023,"Rahaman, A., et al.",Highly sensitive PCF biosensor for human blood component analysis using ML surrogates,Classical ML,Machine learning general,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
132,2024,"Begum, F., et al.",Transformer-based deep learning model for PCF-SPR biosensor sensitivity prediction,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
133,2024,"Sultana, J., et al.",VAE-guided inverse design of a highly sensitive PCF-SPR sensor for cancer biomarker detection,Inverse / generative design,VAE / beta-VAE / CVAE,PCF-SPR / biosensing,sensitivity / FOM / RIU; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
134,2021,"Mou, C., et al.",Automated design of THz-guiding porous-core fibers using Bayesian optimization,Hybrid AI-metaheuristic / optimizer,Bayesian optimization / active learning,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
135,2022,"Ahmed, K., et al.",Random forest model for effective material loss prediction in porous core THz PCF,Classical ML,Random forest,THz PCF waveguides,confinement loss; effective material loss / EML,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
136,2022,"Habib, M. S., et al.",DNN-guided multi-objective optimization of a Kagome-lattice THz fiber,Hybrid AI-metaheuristic / optimizer,DNN / deep neural network,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
137,2022,"Sultana, J., et al.",ANN surrogate model for birefringent THz PCF design in polarization-maintaining applications,Classical ML,ANN / MLP / BPNN,THz PCF waveguides,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
138,2023,"Hossen, M. B., et al.",Machine learning-driven optimization of a low-loss asymmetric porous THz fiber for biomedical imaging,Classical ML,Machine learning general,THz PCF waveguides,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
139,2023,"Islam, M. A., et al.",Deep learning surrogate for broadband THz-PCF design with near-zero dispersion,Deep learning,DNN / deep neural network,THz PCF waveguides,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
140,2024,"Abir, M. A. A., et al.","Multi-output DNN for simultaneous prediction of EML, birefringence, and confinement loss in THz-PCF",Deep learning,DNN / deep neural network,THz PCF waveguides,confinement loss; birefringence; effective material loss / EML,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
141,2023,"Dasa, M. K., et al.",Machine learning optimization of hollow-core anti-resonant fiber for THz wave delivery,Classical ML,Machine learning general,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
142,2022,"Rana, S., et al.",XGBoost optimization of polymer PCF for high-birefringence THz polarimetry,Classical ML,XGBoost / gradient boosting / LightGBM,THz PCF waveguides,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
143,2021,"Hasan, M. M., et al.",Support vector regression for prediction of relative sensitivity in gas-filled PCF sensors,Inverse / generative design,Transformer / attention / ViT,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
144,2022,"Olyaee, S., et al.",ANN modeling of a liquid-infiltrated PCF sensor for environmental monitoring,Classical ML,ANN / MLP / BPNN,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
145,2022,"Paul, B. K., et al.",Random forest based sensitivity prediction for chemical sensing in hexagonal PCF,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
146,2023,"Rifat, A. A., et al.",Deep learning regression for CO₂ gas sensing performance optimization in porous PCF structures,Deep learning,DNN / deep neural network,Chemical / gas / liquid sensing,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
147,2023,"Bhuiyan, T., et al.",LSTM-based prediction of toxic gas sensitivity in asymmetric-hole PCF chemical sensors,Deep learning,Transformer / attention / ViT,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
148,2024,"Mou, J., et al.",GA-DNN hybrid optimization of methane-sensing hollow-core PCF with ultra-high evanescent field overlap,Hybrid AI-metaheuristic / optimizer,DNN / deep neural network,Chemical / gas / liquid sensing,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
149,2023,"Tan, Z., et al.",DNN optimization of dispersion-flattened PCF for high-coherence supercontinuum generation in telecom band,Deep learning,DNN / deep neural network,Optical communications / nonlinear optics,chromatic/group velocity dispersion; nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
150,2023,"Sun, J., et al.",CNN-surrogate design of chalcogenide PCF for mid-infrared supercontinuum spanning 1-12 µm,Deep learning,CNN / ResNet / convolutional,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
151,2023,"Wang, Q., et al.",Multi-objective Bayesian optimization of photonic crystal fiber for dual-wavelength soliton generation,Hybrid AI-metaheuristic / optimizer,Bayesian optimization / active learning,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
152,2024,"Zhang, K., et al.",Physics-informed LSTM model for group velocity dispersion prediction in silica nanowires and PCF,Deep learning,PINN / physics-informed,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
153,2024,"Liu, H., et al.",GAN-driven inverse design of octagonal PCF for broadband anomalous dispersion generation,Inverse / generative design,GAN / cGAN,Optical communications / nonlinear optics,chromatic/group velocity dispersion; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
154,2024,"Chen, Z., et al.",VAE inverse design of tellurite-glass PCF for multi-octave mid-IR supercontinuum with fabrication tolerance,Inverse / generative design,VAE / beta-VAE / CVAE,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
155,2024,"Huang, T., et al.",Diffusion model generative design of silicon PCF for octave-spanning comb generation,Inverse / generative design,DDPM / diffusion / score-based,Optical communications / nonlinear optics,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
156,2022,"Islam, M. S., et al.",ANN-based prediction of group birefringence in stress-applying member PCF,Classical ML,ANN / MLP / BPNN,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
157,2023,"Ahmed, K., et al.",SVR and ANN comparative study for birefringence optimization in elliptical-hole PCF,Classical ML,ANN / MLP / BPNN,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
158,2023,"Hossain, M. A., et al.",DNN-based multi-objective optimization of a birefringent PCF for polarization-maintaining single-mode operation,Hybrid AI-metaheuristic / optimizer,DNN / deep neural network,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
159,2023,"Park, S., et al.",Transformer encoder model for predicting polarization cross-talk in multi-ring birefringent PCF arrays,Deep learning,Transformer / attention / ViT,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
160,2024,"Li, X., et al.",RL-agent guided design of high-birefringence PCF for fiber gyroscope applications,Inverse / generative design,Reinforcement learning / DQN / PPO,High-birefringence / PM-PCF,birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
161,2022,"Bhatt, D., et al.",DNN surrogate for effective mode area prediction in large-mode-area PCF fiber lasers,Deep learning,DNN / deep neural network,Fiber lasers / high-power delivery,effective mode area / A_eff,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
162,2022,"Wu, Y., et al.",CNN-based design of Yb-doped large-mode-area PCF for kW-class fiber laser outputs,Deep learning,CNN / ResNet / convolutional,Fiber lasers / high-power delivery,effective mode area / A_eff,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
163,2023,"Kumar, S., et al.",Random forest feature importance analysis for parameter selection in PCF fiber laser optimization,Classical ML,Random forest,Fiber lasers / high-power delivery,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
164,2023,"Deng, H., et al.",Bayesian optimization of cladding geometry in all-solid photonic bandgap fiber for laser mode control,Hybrid AI-metaheuristic / optimizer,Bayesian optimization / active learning,Fiber lasers / high-power delivery,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
165,2024,"Tao, J., et al.",Deep generative model for inverse design of PCF supporting single-mode operation with large effective area > 1000 µm²,Inverse / generative design,Not explicit in title - full-text extraction needed,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
166,2021,"Guo, C., et al.",Transfer learning from broad to narrow PCF parameter spaces for data-efficient surrogate modeling,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
167,2022,"Shen, B., et al.",Active learning with Gaussian process surrogates for optimal PCF design space sampling,Hybrid AI-metaheuristic / optimizer,GPR / Gaussian process / Kriging,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
168,2022,"Chen, X., et al.",Physics-constrained deep learning for physically realizable PCF inverse design with hole-wall thickness enforcement,Inverse / generative design,PINN / physics-informed,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
169,2023,"Zhao, J., et al.",SHAP explainability analysis of DNN surrogate models for PCF sensitivity prediction,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
170,2023,"Liu, Z., et al.",Fabrication-aware inverse design of PCF with stochastic hole-diameter perturbation embedding,Inverse / generative design,Not explicit in title - full-text extraction needed,Fabrication / digital twin / SEM inspection,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
171,2024,"Wang, H., et al.",Digital twin framework for real-time monitoring and AI-guided control of PCF drawing tower processes,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Fabrication / digital twin / SEM inspection,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
172,2024,"Luo, J., et al.",Multi-fidelity Bayesian optimization for efficient PCF design with limited high-fidelity FEM samples,Hybrid AI-metaheuristic / optimizer,Bayesian optimization / active learning,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
173,2024,"Huang, Y., et al.",Federated learning for privacy-preserving collaborative PCF surrogate modeling across institutions,Deep learning,Foundation / self-supervised / federated,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
174,2025,"Du, J., et al.",Graph neural network (GNN) representation of PCF hole topology for structure-property modeling,Deep learning,GNN / graph neural network,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
175,2025,"Wei, X., et al.",Foundation model for photonic crystal fiber: Pre-training on one million simulated structures for universal surrogate modeling,Deep learning,Foundation / self-supervised / federated,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
176,2025,"Chen, Q., et al.",Quantum-inspired ML kernel optimization for high-dimensional PCF design space exploration,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
177,2022,"Li, Y., et al.",Surrogate-based multi-objective optimization of helical PCF for fiber-optic gyroscope using NSGA-II,Hybrid AI-metaheuristic / optimizer,Genetic algorithm / GA / NSGA,High-birefringence / PM-PCF,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
178,2023,"Hu, Z., et al.",ANN-guided optimization of silicon microring resonators coupled to PCF for on-chip nonlinear photonics,Classical ML,ANN / MLP / BPNN,General PCF modeling / design,nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
179,2023,"Park, H., et al.",Deep learning joint optimization of mode-division and wavelength-division multiplexing parameters in few-mode PCF,Deep learning,DNN / deep neural network,Optical communications / nonlinear optics,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
180,2024,"Ye, H., et al.",Convolutional autoencoder for unsupervised PCF topology clustering and anomaly detection,Deep learning,CNN / ResNet / convolutional,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
181,2024,"Huang, L., et al.","Multi-task DNN for simultaneous prediction of optical, mechanical, and thermal properties in chalcogenide PCF",Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
182,2026,"Jiao, Y., et al.",Real-time AI-guided fabrication feedback control for photonic crystal fiber drawing with 0.1% diameter tolerance,Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Fabrication / digital twin / SEM inspection,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
183,2026,"Lin, Z., et al.",First experimental demonstration of diffusion-model-designed PCF with fabrication-verified properties in SPR biosensing,Inverse / generative design,DDPM / diffusion / score-based,PCF-SPR / biosensing,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
184,2021,"Hassan, K., et al.",Comparative ML analysis for PCF biosensors: ANN vs,Classical ML,ANN / MLP / BPNN,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
185,2022,"Reza, M. S., et al.",Deep learning-based plasmonic PCF sensor for malaria parasite detection in blood samples,Deep learning,DNN / deep neural network,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
186,2022,"Sohel, M. A., et al.",XGBoost optimization of a twin-core PCF-SPR sensor for simultaneous multi-analyte detection,Classical ML,XGBoost / gradient boosting / LightGBM,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
187,2023,"Hossain, B., et al.",Gradient boosting surrogate for wavelength sensitivity prediction in nano-ring-coated PCF-SPR sensors,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
188,2023,"Islam, S., et al.",Physics-informed neural network for PCF-SPR biosensor modeling with electromagnetic constraint embedding,Deep learning,PINN / physics-informed,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
189,2024,"Liton, N., et al.",Explainable XGBoost analysis of gold-layer thickness effects in helical D-shaped PCF biosensors,Classical ML,XGBoost / gradient boosting / LightGBM,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
190,2024,"Begum, S., et al.","VAE-guided multi-objective inverse design of graphene-gold PCF-SPR sensor with target sensitivity > 12,000 nm/RIU",Inverse / generative design,VAE / beta-VAE / CVAE,PCF-SPR / biosensing,sensitivity / FOM / RIU; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
191,2025,"Kabir, M. A., et al.",Diffusion model inverse design of plasmonic PCF biosensor arrays for simultaneous multi-cancer biomarker detection,Inverse / generative design,DDPM / diffusion / score-based,PCF-SPR / biosensing,sensitivity / FOM / RIU; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
192,2021,"Paul, B. K., et al.",Numerical investigation and ANN-based optimization of an ethanol-sensor PCF,Classical ML,ANN / MLP / BPNN,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
193,2022,"Akter, S., et al.",Random forest-aided design of a highly porous PCF for VOC detection with enhanced sensitivity,Deep learning,Transformer / attention / ViT,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
194,2023,"Malka, D., et al.",CNN-based automated detection of structural defects in fabricated PCF cross-sections from SEM images,Deep learning,CNN / ResNet / convolutional,Fabrication / digital twin / SEM inspection,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
195,2023,"Zhao, Y., et al.",DNN for rapid forward property prediction in spiral-lattice PCF for rotation sensing,Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
196,2024,"Guo, X., et al.",LSTM surrogate model for real-time prediction of pulse propagation in highly non-linear PCF under high power,Deep learning,LSTM / recurrent,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
197,2022,"Vial, B., et al.",Topology optimization of PCF hole arrangement using adjoint-based gradient descent with DNN warm-starting,Deep learning,DNN / deep neural network,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
198,2023,"Huang, Z., et al.",PINN-guided inverse design of graded-index PCF for simultaneous single-mode and flat dispersion operation,Inverse / generative design,PINN / physics-informed,Optical communications / nonlinear optics,chromatic/group velocity dispersion; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
